ID,HAL ID,Title,Publication Date,Journal/Conference,Document Type,DOI,Authors,I2M Authors,Job Title,Research Groups,Membership Status,External Authors,Affiliations
3228533,hal-03228533,Measure-Scaling Quasi-Isometries,2022,Geometriae Dedicata,ART,Unknown,"Anthony Genevois, Romain Tessera",['anthony genevois'],['Doctorant (Phd Student)'],['GDAC'],['Former'],['romain tessera'],['Institut de Mathématiques de Jussieu - Paris Rive Gauche']
3171546,hal-03171546,Cohomology Groups For Spaces Of 12-Fold Tilings,2022,International Mathematics Research Notices,ART,10.1093/imrn/rnab117/6291057,"Ana G Lecuona, Franz Gähler, Nicolas Bedaride","['ana lecuona', 'nicolas bedaride']","['Maître de Conférences (MCF F)', 'Maître de Conférences (MCF H)']",['GDAC'],"['Former', 'Current']",['franz gahler'],['Unknown']
3661129,hal-03661129,On Turedo Hierarchies And Intrinsic Universality,2022,Unknown,Unknown,Unknown,"Guillaume Theyssier, Samuel Nalin",['guillaume theyssier'],['Chargé de Recherche (CR)'],['GDAC'],['Current'],['samuel nalin'],"[""Laboratoire d'Informatique Fondamentale d'Orléans""]"
3522279,hal-03475324,"K-Sample Test For Equality Of Copulas', 'Comparaison Simultanée De $K\\Geq 2$ Copules Multivariées",2022,Unknown,Unknown,Unknown,"Denys Pommmeret, Yves Ismaël Ngounou Bakam","['denys pommeret', 'bakam yves ismael ngounou']","['Professeur (PR)', 'Doctorant (Phd Student)']",['ALEA'],"['Former', 'Current']",[],[]
3524847,hal-02866922,Charge Migration And Attosecond Solitons In Conjugated Organic Molecules,2022,Physical Review Research,ART,10.1103/PhysRevResearch.4.013073,"Aderonke S Folorunso, Cristel Chandre, Francois Mauger, Kenneth J Schafer, Kenneth Lopata, Kyle A Hamer, Mette B Gaarde",['cristel chandre'],['Directeur de Recherche (DR)'],['GDAC'],['Current'],"['aderonke s folorunso', 'francois mauger', 'kenneth j schafer', 'kenneth lopata', 'kyle a hamer', 'mette b gaarde']","['Department of Physics and Astronomy [BatonRouge]', 'Department of Chemistry']"
3534021,hal-03534021,A Strategy To Optimize The Complexity Of Chudnovsky-Type Algorithms Over The Projective Line,2022,Contemporary mathematics,ART,Unknown,"Alexis Bonnecaze, Bastien Pacifico, Stéphane Ballet","['stephane ballet', 'bastien pacifico', 'alexis bonnecaze']","['Professeur (PR)', 'Doctorant (Phd Student)']",['AGLR'],"['Former', 'Current']",[],[]
3538662,hal-03538662,Universal Sequences Of Composition Operators,2022,Unknown,Unknown,Unknown,"A Mouze, S Charpentier","['adel mounzer saleh', 'stephane charpentier']","['Doctorant (Phd Student)', 'Maître de Conférences (MCF H)']","['AA', 'AGT']",['Current'],[],[]
3540062,hal-02266916,"Freezing, Bounded-Change And Convergent Cellular Automata",2022,Discrete Mathematics and Theoretical Computer Science,ART,10.46298/dmtcs.5734,"Guillaume Theyssier, Nicolas Ollinger",['guillaume theyssier'],['Chargé de Recherche (CR)'],['GDAC'],['Current'],['nicolas ollinger'],"[""Laboratoire d'Informatique Fondamentale d'Orléans""]"
3277919,hal-03277919,Bogolyubov’S Averaging Theorem Applied To The Kramers-Henneberger Hamiltonian,2022,Physica D: Nonlinear Phenomena,ART,10.1016/j.physd.2021.133124,"Cristel Chandre, Elena Floriani, Jonathan Dubois","['cristel chandre', 'jonathan dubois']","['Directeur de Recherche (DR)', 'Doctorant (Phd Student)']",['GDAC'],"['Former', 'Current']",['elena floriani'],['Centre de Physique Théorique - UMR 7332']
3546227,hal-03546227,Segal'S Axioms And Bootstrap For Liouville Theory,2022,Unknown,Unknown,Unknown,"Antti Kupiainen, Colin Guillarmou, Rémi Rhodes, Vincent Vargas",['remi rhodes'],['Professeur (PR)'],['ALEA'],['Current'],"['antti kupiainen', 'colin guillarmou', 'vincent vargas']",['Unknown']
3547607,hal-02417506,"Some Toy Models Of Self-Organized Criticality In Percolation', 'Quelques Modèles Jouets De Criticalité Auto-Organisée En Percolation",2022,ALEA : Latin American Journal of Probability and Mathematical Statistics,ART,10.30757/ALEA.v19-14,"Nicolas Forien, Raphaël Cerf",['nicolas forien'],['Attaché Temporaire d’Enseignement et de Recherche (ATER)'],['ALEA'],['Former'],['raphael cerf'],"[""Laboratoire de Mathématiques d'Orsay""]"
3552126,hal-03079453,Theoretical And Numerical Analysis Of A Simple Model Derived From Compressible Turbulence,2022,Journal of Mathematical Fluid Mechanics,ART,10.1007/s00021-022-00676-5,"Ali Toufaili, Jean-Marc Hérard, Olivier Hurisse, Sergey L. Gavrilyuk","['ali toufaili', 'jean marc herard']","['Membre Associé', 'Doctorant (Phd Student)']",['AA'],"['Former', 'Current']","['olivier hurisse', 'sergey l. gavrilyuk']","['Institut universitaire des systèmes thermiques industriels', 'EDF']"
3552216,hal-03552216,Relaxation Process In A Class Of Two-Phase Flow Models,2022,Unknown,REPORT,Unknown,Jean-Marc Hérard,['jean marc herard'],['Membre Associé'],['AA'],['Current'],[],[]
3554850,hal-02998581,Modularity And Value Distribution Of Quantum Invariants Of Hyperbolic Knots,2022,Mathematische Annalen,ART,10.1007/s00208-021-02288-2,"Sandro Bettin, Sary Drappeau",['sary aurelien drappeau'],['Maître de Conférences (MCF H)'],['GDAC'],['Current'],['sandro bettin'],['Università degli studi di Genova = University of Genoa']
3554887,hal-02998544,Effective Estimation Of Some Oscillatory Integrals Related To Infinitely Divisible Distributions,2022,Ramanujan Journal,ART,10.1007/s11139-020-00362-y,"Sandro Bettin, Sary Drappeau",['sary aurelien drappeau'],['Maître de Conférences (MCF H)'],['GDAC'],['Current'],['sandro bettin'],['Università degli studi di Genova = University of Genoa']
3554910,hal-02998562,Limit Laws For Rational Continued Fractions And Value Distribution Of Quantum Modular Forms,2022,Proceedings of the London Mathematical Society,ART,10.1112/plms.12485,"Sandro Bettin, Sary Drappeau",['sary aurelien drappeau'],['Maître de Conférences (MCF H)'],['GDAC'],['Current'],['sandro bettin'],['Università degli studi di Genova = University of Genoa']
3555080,hal-03555080,Calcium Signaling Is Impaired In Pten-Deficient T Cell Acute Lymphoblastic Leukemia,2022,Frontiers in Immunology,ART,10.3389/fimmu.2022.797244,"Clémence Grosjean, Delphine Potier, Dominique Payet-Bornet, Julie Quessada, Marie Loosveld, Mathis Nozais, Saran Pankaew, Élisabeth Remy","['elisabeth remy', 'saran pankaew']","['Directrice de Recherche (DR)', 'Doctorant (Phd Student)']",['ALEA'],"['Former', 'Current']","['clemence grosjean', 'delphine potier', 'dominique payet bornet', 'julie quessada', 'marie loosveld', 'mathis nozais']","[""Centre d'Immunologie de Marseille - Luminy""]"
3555152,hal-03555152,Multiplexed Single-Cell Rna-Sequencing Of Mouse Thymic And Splenic Samples,2022,STAR Protocols,ART,10.1016/j.xpro.2021.101041,"Clémence Grosjean, Delphine Potier, Dominique Payet-Bornet, Julie Quessada, Marie Loosveld, Mathis Nozais, Saran Pankaew",['saran pankaew'],['Doctorant (Phd Student)'],['ALEA'],['Former'],"['clemence grosjean', 'delphine potier', 'dominique payet bornet', 'julie quessada', 'marie loosveld', 'mathis nozais']","[""Centre d'Immunologie de Marseille - Luminy""]"
3300103,hal-03300103,Numerical Staggered Schemes For The Free-Congested Navier-Stokes Equations,2022,SIAM Journal on Numerical Analysis,ART,10.1137/21M1436488,"Charlotte Perrin, Khaled Saleh","['charlotte perrin', 'khaled saleh']","['Professeur (PR)', 'Chargée de Recherche (CR)']",['AA'],['Current'],[],[]
3311599,hal-03168277,Lax–Wendroff Consistency Of Finite Volume Schemes For Systems Of Non Linear Conservation Laws: Extension To Staggered Schemes,2022,SeMa Journal,ART,10.1007/s40324-021-00263-0,"J.-C Latché, R Herbin, T Gallouët","['raphaele herbin', 'thierry gallouet']","['Professeure (PR)', 'Professeur (PR)']",['AA'],"['Former', 'Current']",['j. c latche'],['Service des Agressions Internes et des risques Industriels']
3519412,hal-03519412,Code Based Secret Sharing Schemes,2022,Unknown,OUV,10.1142/12585,"Alexis Bonnecaze, Patrick Solé, Romar Dela Cruz, Selda Çalkavur","['patrick sole', 'alexis bonnecaze']","['Directeur de Recherche (DR)', 'Professeur (PR)']",['AGLR'],['Current'],"['romar dela cruz', 'selda calkavur']","['Kocaeli University [Turkey]', 'University of the Philippines']"
3446721,hal-03446721,Rigidity Of Generalized Veech 1969/Sataev 1975 Extensions Of Rotations,2022,Journal d'analyse mathématique,ART,Unknown,"Pascal Hubert, Sébastien Ferenczi","['sebastien simon ferenczi', 'pascal hubert']","['Directeur de Recherche (DR)', 'Professeur (PR)']",['GDAC'],['Current'],[],[]
3396325,hal-03396325,Data-Driven Reduced Order Modeling For Flows With Moving Geometries Using Shifted Pod,2022,Unknown,COMM,Unknown,"Julius Reiss, Kai Schneider, Miriam Goldack, Philipp Krah, Thomas Engels","['kai schneider', 'philipp krah']","['Professeur (PR)', 'CDD Ingénieur de Recherche']",['ALEA'],['Current'],"['julius reiss', 'thomas engels']","['Institute of Fluid Mechanics and Engineering Acoustics, Berlin University of Technology, D-10623 Berlin, Germany']"
3408102,hal-03408102,Anti-Diffusive Alternate-Directions Schemes For The Transport Of Step Functions,2022,International Journal for Numerical Methods in Fluids,ART,10.1002/fld.5086,"Fabien Duval, Jean-Claude Latché, Léa Batteux, Pascal Poullet, Raphaele Herbin","['jean claude latche', 'raphaele herbin']","['Professeure (PR)', 'Membre Associé']",['AA'],['Current'],"['fabien duval', 'lea batteux', 'pascal poullet']","['Laboratoire de Mathématiques Informatique et Applications [UR1_1]', ""Laboratoire de l'Incendie et des Explosions""]"
4943511,hal-04943511,Tangle 2.0 Leaderless Nakamoto Consensus On The Heaviest Dag,2022,IEEE Access,ART,10.1109/ACCESS.2022.3211422,"Andreas Penzkofer, Hans Moog, Jonas Theis, Nikita Polyanskii, Sebastian Mueller, William Sanders",['sebastian muller'],['Maître de Conférences (MCF H)'],['ALEA'],['Current'],"['andreas penzkofer', 'hans moog', 'jonas theis', 'nikita polyanskii', 'william sanders']",['Unknown']
4941358,hal-04941358,Polynomial Moments With A Weighted Zeta Square Measure On The Critical Line,2022,Acta Arithmetica,ART,10.48550/arXiv.2209.10990,"Erwan Hillion, Sébastien Darses","['sebastien darses', 'erwan hillion']",['Maître de Conférences (MCF H)'],['ALEA'],['Current'],[],[]
3435779,hal-03435779,The Patterson-Sullivan Reconstruction Of Pluriharmonic Functions For Determinantal Point Processes On Complex Hyperbolic Spaces,2022,Geometric And Functional Analysis,ART,10.1007/s00039-022-00592-w,"Alexander I. Bufetov, Yanqi Qiu",['alexander bufetov'],['Directeur de Recherche (DR)'],['GDAC'],['Current'],['yanqi qiu'],['Unknown']
3446718,hal-03446718,Arnoux-Rauzy Interval Exchanges,2022,Annali della Scuola Normale Superiore di Pisa,ART,Unknown,"Julien Cassaigne, Pascal Hubert, Pierre Arnoux, Sébastien Ferenczi","['pierre arnoux', 'julien cassaigne', 'pascal hubert', 'sebastien simon ferenczi']","['Chargé de Recherche (CR)', 'Directeur de Recherche (DR)', 'Professeur (PR)']",['GDAC'],['Current'],[],[]
4938701,hal-04938701,"Changer De Paradigme Pour Enseigner Les Mathématiques : Une Expérimentation Au Sein Du Système', 'Mudando O Paradigma Para O Ensino Da Matemática: Uma Experiência Em Um Sistema.",2022,Unknown,COUV,Unknown,"Farida Mejani, Yves Matheron",['yves matheron'],['Collaborateur bénévole'],['GDAC'],['Former'],[],[]
3518945,hal-03518945,Tree Substitutions And Rauzy Fractals,2022,Unknown,Unknown,Unknown,"Milton Minervino, Thierry Coulbois","['thierry coulbois', 'milton minervino']","['PostDoctorant (Postdoctoral Researcher)', 'Maître de Conférences (MCF H)']",['GDAC'],"['Former', 'Current']",[],[]
3447814,hal-03447814,Noise Sensitivity For The Top Eigenvector Of A Sparse Random Matrix,2022,Electronic Journal of Probability,ART,Unknown,"Charles Bordenave, Jaehun Lee",['charles bordenave'],['Directeur de Recherche (DR)'],['ALEA'],['Current'],['jaehun lee'],['Unknown']
3351185,hal-03351185,Momentum Transport In The Free Fluid-Porous Medium Transition Layer: The One-Domain Approach,2022,Chemical Engineering Science,ART,10.1016/j.ces.2021.117111,"Benoit Goyeau, J. Alberto Ochoa-Tapia, Philippe Angot, Roel Hernandez-Rodriguez",['philippe angot'],['Professeur (PR)'],['AA'],['Current'],"['benoit goyeau', 'j. alberto ochoa tapia', 'roel hernandez rodriguez']","[""Laboratoire d'Énergétique Moléculaire et Macroscopique, Combustion"", 'Universidad Autonoma Metropolitana - Iztapalapa']"
3349824,hal-03087081,Compact Complex Non-Kähler Manifolds Associated With Totally Real Reciprocal Units,2022,Mathematische Zeitschrift,ART,10.1007/s00209-022-03010-x,"Christian Miebach, Karl Oeljeklaus",['karl oeljeklaus'],['Professeur (PR)'],['AGT'],['Current'],['christian miebach'],['Laboratoire de Mathématiques Pures et Appliquées Joseph Liouville']
3480320,hal-03480320,Wild Boundary Behaviour Of Holomorphic Functions In Domains Of C N,2022,Indiana University Mathematics Journal,ART,Unknown,"L Kosiński, S Charpentier",['stephane charpentier'],['Maître de Conférences (MCF H)'],['AGT'],['Current'],['l kosinski'],['Uniwersytet Jagielloński w Krakowie = Jagiellonian University = Université Jagellon de Cracovie']
3500326,hal-03500326,Propagation And Blocking In A Two-Patch Reaction-Diffusion Model,2022,Journal de Mathématiques Pures et Appliquées,ART,10.1016/j.matpur.2022.11.006,"François Hamel, Frithjof Lutscher, Mingmin Zhang","['francois hamel', 'mingmin zhang']","['Doctorante (Phd Student)', 'Professeur (PR)']",['AA'],"['Former', 'Current']",['frithjof lutscher'],['University of Ottawa [Ottawa]']
3517406,hal-03517406,On The Taylor Expansion Of $\\Lambda$-Terms And The Groupoid Structure Of Their Rigid Approximants,2022,Logical Methods in Computer Science,ART,10.46298/lmcs-18(1:1)2022,"Federico Olimpieri, Lionel Vaux","['federico olimpieri', 'lionel vaux']","['Doctorant (Phd Student)', 'Maître de Conférences (MCF H)']",['AGLR'],"['Former', 'Current']",[],[]
3563888,hal-03563888,On A Question Of Supports,2022,European Journal of Mathematics,ART,Unknown,"Christophe Raffalli, Frédéric Mangolte",['frederic mangolte'],['Professeur (PR)'],['AGT'],['Current'],['christophe raffalli'],['Unknown']
3569239,hal-03569239,Sc-Rna-Seq Assisted Synthesis Of A Boolean Network To Model Early Haematopoiesis Aging,2022,Unknown,Unknown,10.1101/2022.02.08.479548,"Elisabeth Remy, Estelle Duprez, Léonard Hérault, Mathilde Poplineau","['elisabeth remy', 'leonard herault']","['Directrice de Recherche (DR)', 'Doctorant (Phd Student)']",['ALEA'],"['Former', 'Current']","['estelle duprez', 'mathilde poplineau']",['Unknown']
3622919,hal-03622919,Cellular Automata And Substitutions In Topological Spaces Defined Via Edit Distances,2022,Unknown,Unknown,Unknown,"Firas Ben Ramdhane, Pierre Guillon","['pierre guillon', 'ramdhane firas ben']","['Chargé de Recherche (CR)', 'Attaché Temporaire d’Enseignement et de Recherche (ATER)']",['GDAC'],"['Former', 'Current']",[],[]
2408670,hal-02408670,"On The Equivalence Of All Models For $(\\Infty,2)$-Categories",2022,Journal of the London Mathematical Society,ART,10.1112/jlms.12614,"Andrea Gagna, Edoardo Lanari, Yonatan Harpaz",['andrea gagna'],['Doctorant (Phd Student)'],['AGLR'],['Former'],"['edoardo lanari', 'yonatan harpaz']","['Unknown', 'Laboratoire Analyse, Géométrie et Applications']"
